NewsPulse/7.4.2 FirebaseSDK/15.1.3 (com.news.pulse/3029483726; Windows/11; TQ3A.231005.002; Pixel 8; google; Pixel 8; 6.5; 2430x1080;)
YahooNews/7.8.6 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2023767416; Windows/10; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
YahooNews/12.4.0 FlurrySDK/14.6.2 (com.weatherwatch.app/2023358274; Windows/10; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
BingNews/16.9.3 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2023477111; Windows/11; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
WeatherWatch/12.3.4 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022832641; Windows/10; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
WeatherWatch/12.8.9 FlurrySDK/14.5.7 (com.sportsnow.app/2022568592; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
DailyDigest/12.2.0 FlurrySDK/14.6.2 (com.travelguide.explorer/2022583252; Chrome/OS; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
YahooNews/19.7.3 FlurrySDK/14.5.7 (com.weatherwatch.app/2022246316; Windows/10; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
TravelGuide/13.2.2 FlurrySDK/14.6.2 (com.travelguide.explorer/2022742290; Windows/NT; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
BingNews/15.4.5 FlurrySDK/15.0.1 (com.dailydigest.reader/2023920828; Windows/NT; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
YahooNews/18.4.3 FlurrySDK/14.6.2 (com.weatherwatch.app/2022717667; Windows/NT; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/18.8.5 FlurrySDK/14.6.2 (com.weatherwatch.app/2023437185; Chrome/OS; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
YahooNews/15.4.1 FlurrySDK/14.6.2 (com.weatherwatch.app/2023773607; Windows/NT; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
WeatherWatch/17.7.0 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2023267185; Chrome/OS; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
SportsNow/8.4.6 FlurrySDK/14.6.2 (com.weatherwatch.app/2022949434; Windows/11; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
SportsNow/20.9.6 FlurrySDK/14.5.7 (com.sportsnow.app/2023938223; Windows/NT; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
BingNews/8.9.8 FlurrySDK/14.6.2 (com.sportsnow.app/2023164619; Windows/10; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
DailyDigest/8.4.8 FlurrySDK/14.6.2 (com.microsoft.bing.news/2023203030; Chrome/OS; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
WeatherWatch/14.2.4 FlurrySDK/15.0.1 (com.travelguide.explorer/2023017973; Chrome/OS; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
GoogleNews/20.3.1 FlurrySDK/14.5.7 (com.dailydigest.reader/2022382524; Windows/NT; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
BingNews/7.9.7 FlurrySDK/15.0.1 (com.travelguide.explorer/2023343006; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
YahooNews/10.6.7 FlurrySDK/15.0.1 (com.travelguide.explorer/2023481100; Chrome/OS; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
WeatherWatch/1.5.6 FlurrySDK/15.0.1 (com.weatherwatch.app/2022877971; Windows/NT; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
WeatherWatch/14.8.3 FlurrySDK/14.6.2 (com.sportsnow.app/2023946062; Windows/10; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
DailyDigest/5.3.0 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2023876225; Windows/NT; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
TravelGuide/2.7.6 FlurrySDK/14.5.7 (com.travelguide.explorer/2022442725; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
YahooNews/1.3.1 FlurrySDK/15.0.1 (com.weatherwatch.app/2022829338; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
GoogleNews/14.7.8 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022816099; Chrome/OS; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
DailyDigest/12.7.7 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022034958; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
BingNews/19.3.7 FlurrySDK/15.0.1 (com.travelguide.explorer/2022137591; Windows/10; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
WeatherWatch/4.1.1 FlurrySDK/14.5.7 (com.sportsnow.app/2022505238; Chrome/OS; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
GoogleNews/8.2.2 FlurrySDK/15.0.1 (com.sportsnow.app/2023686785; Windows/11; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
YahooNews/14.9.7 FlurrySDK/14.5.7 (com.weatherwatch.app/2022824924; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
GoogleNews/2.4.5 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022594040; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
SportsNow/9.5.9 FlurrySDK/14.6.2 (com.weatherwatch.app/2023280392; Chrome/OS; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/13.7.5 FlurrySDK/14.6.2 (com.sportsnow.app/2022968170; Chrome/OS; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
SportsNow/5.8.8 FlurrySDK/14.6.2 (com.sportsnow.app/2022639492; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/9.8.5 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023056155; Windows/11; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
DailyDigest/10.3.6 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022754260; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
BingNews/17.7.4 FlurrySDK/14.6.2 (com.dailydigest.reader/2023604221; Windows/NT; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
DailyDigest/14.4.3 FlurrySDK/15.0.1 (com.dailydigest.reader/2022183207; Windows/NT; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
TravelGuide/13.5.0 FlurrySDK/14.5.7 (com.travelguide.explorer/2023054378; Chrome/OS; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
BingNews/12.3.3 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023088716; Chrome/OS; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
YahooNews/5.8.7 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2023516490; Windows/11; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
SportsNow/15.5.0 FlurrySDK/14.5.7 (com.weatherwatch.app/2023592894; Chrome/OS; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
GoogleNews/7.2.5 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023957206; Windows/NT; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
YahooNews/17.0.4 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022140679; Chrome/OS; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
SportsNow/5.0.8 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022712084; Chrome/OS; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
DailyDigest/10.8.4 FlurrySDK/14.6.2 (com.weatherwatch.app/2022053526; Chrome/OS; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
TravelGuide/3.1.4 FlurrySDK/14.5.7 (com.sportsnow.app/2022129867; Windows/NT; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
DailyDigest/8.5.5 FlurrySDK/15.0.1 (com.sportsnow.app/2022205668; Chrome/OS; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
GoogleNews/7.0.8 FlurrySDK/15.0.1 (com.weatherwatch.app/2022029995; Windows/10; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
WeatherWatch/16.3.8 FlurrySDK/14.6.2 (com.weatherwatch.app/2022342525; Windows/11; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/19.3.6 FlurrySDK/15.0.1 (com.google.microsoft.apps.magazines/2022850964; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
WeatherWatch/5.6.5 FlurrySDK/14.5.7 (com.dailydigest.reader/2022577288; Windows/NT; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
TravelGuide/8.6.8 FlurrySDK/14.5.7 (com.sportsnow.app/2022909607; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
GoogleNews/19.5.3 FlurrySDK/14.6.2 (com.sportsnow.app/2023601967; Windows/NT; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
WeatherWatch/15.5.4 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2022403547; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
DailyDigest/16.2.5 FlurrySDK/15.0.1 (com.weatherwatch.app/2022957341; Windows/11; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
BingNews/18.1.4 FlurrySDK/14.5.7 (com.dailydigest.reader/2023243992; Windows/NT; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
YahooNews/16.1.6 FlurrySDK/14.6.2 (com.travelguide.explorer/2023253428; Windows/NT; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
YahooNews/5.1.1 FlurrySDK/15.0.1 (com.microsoft.bing.news/2023336872; Windows/11; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
TravelGuide/1.4.5 FlurrySDK/14.5.7 (com.microsoft.bing.news/2022105244; Chrome/OS; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
SportsNow/5.2.9 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022151355; Windows/NT; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
TravelGuide/8.7.9 FlurrySDK/14.6.2 (com.dailydigest.reader/2023185983; Windows/10; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
TravelGuide/20.9.8 FlurrySDK/14.6.2 (com.travelguide.explorer/2023608403; Windows/10; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
DailyDigest/4.2.9 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022975430; Chrome/OS; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
TravelGuide/1.2.1 FlurrySDK/14.6.2 (com.weatherwatch.app/2023778793; Windows/NT; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
DailyDigest/14.0.2 FlurrySDK/15.0.1 (com.sportsnow.app/2023419250; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
DailyDigest/3.8.6 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2022290454; Windows/11; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
GoogleNews/5.1.7 FlurrySDK/14.5.7 (com.travelguide.explorer/2023694873; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
DailyDigest/8.5.2 FlurrySDK/14.6.2 (com.travelguide.explorer/2023136903; Windows/11; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
TravelGuide/19.1.5 FlurrySDK/15.0.1 (com.travelguide.explorer/2022087460; Windows/NT; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
SportsNow/2.7.8 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022084305; Windows/10; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
BingNews/12.8.5 FlurrySDK/15.0.1 (com.sportsnow.app/2022469354; Windows/11; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
WeatherWatch/9.0.6 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022962436; Windows/10; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
GoogleNews/2.2.1 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023706926; Chrome/OS; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
BingNews/9.6.3 FlurrySDK/14.5.7 (com.sportsnow.app/2022930275; Chrome/OS; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
BingNews/2.3.8 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023519592; Chrome/OS; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
TravelGuide/3.7.3 FlurrySDK/14.6.2 (com.dailydigest.reader/2022753591; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
DailyDigest/4.7.6 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2022615594; Windows/10; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
TravelGuide/16.6.0 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022307356; Windows/10; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
DailyDigest/1.2.7 FlurrySDK/14.5.7 (com.dailydigest.reader/2022661292; Chrome/OS; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
YahooNews/14.6.6 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2022183076; Windows/NT; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
DailyDigest/12.0.9 FlurrySDK/15.0.1 (com.sportsnow.app/2023471068; Windows/10; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/18.1.2 FlurrySDK/14.6.2 (com.microsoft.bing.news/2023583670; Windows/NT; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
DailyDigest/8.7.8 FlurrySDK/14.5.7 (com.dailydigest.reader/2022514109; Windows/10; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
SportsNow/14.5.3 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2023175112; Chrome/OS; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
WeatherWatch/16.2.7 FlurrySDK/14.5.7 (com.sportsnow.app/2023951510; Windows/NT; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
TravelGuide/7.3.1 FlurrySDK/14.5.7 (com.dailydigest.reader/2022363962; Windows/10; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
DailyDigest/16.7.5 FlurrySDK/15.0.1 (com.sportsnow.app/2023753991; Chrome/OS; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
SportsNow/2.5.3 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022674899; Chrome/OS; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
TravelGuide/15.7.8 FlurrySDK/15.0.1 (com.travelguide.explorer/2023258014; Windows/11; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
WeatherWatch/15.3.9 FlurrySDK/14.5.7 (com.dailydigest.reader/2023691603; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
DailyDigest/14.3.8 FlurrySDK/15.0.1 (com.travelguide.explorer/2023680617; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
WeatherWatch/3.2.0 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2022873116; Windows/10; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
BingNews/10.1.5 FlurrySDK/15.0.1 (com.dailydigest.reader/2023527684; Windows/11; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
WeatherWatch/3.3.1 FlurrySDK/15.0.1 (com.sportsnow.app/2022755665; Windows/10; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
YahooNews/14.5.1 FlurrySDK/15.0.1 (com.sportsnow.app/2022238254; Windows/10; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
YahooNews/13.7.3 FlurrySDK/14.6.2 (com.sportsnow.app/2022414121; Windows/10; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
SportsNow/14.2.8 FlurrySDK/15.0.1 (com.travelguide.explorer/2023325140; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
SportsNow/20.2.4 FlurrySDK/14.6.2 (com.travelguide.explorer/2023682132; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
